path,organisatie,productie,seizoen,persoon,gezelschap_QID,productie_QID,kunstenpunt_ID
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/ariane_regen.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/ariane.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/hans_gilda_dans.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/dans.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/tom_balans_tussen_groep.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2003-2004/Oom Vanja/Phile Deprez_oom-vanja-2/tom_regen.jpg,Het Toneelhuis,Oom Vanja,2003-2004,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/Asem/Dimitri Van Zeebroeck_asem/AsemLorenzaJan.jpg,Het Toneelhuis,Asem,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/Asem/Dimitri Van Zeebroeck_asem/asem3.jpg,Het Toneelhuis,Asem,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/Asem/Dimitri Van Zeebroeck_asem/asem1.jpg,Het Toneelhuis,Asem,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/Asem/Dimitri Van Zeebroeck_asem/asem4.jpg,Het Toneelhuis,Asem,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/Asem/Dimitri Van Zeebroeck_asem/asem6.jpg,Het Toneelhuis,Asem,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/Asem/Dimitri Van Zeebroeck_asem/AsemPepijnInge.jpg,Het Toneelhuis,Asem,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/Asem/Dimitri Van Zeebroeck_asem/asem5.jpg,Het Toneelhuis,Asem,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/Asem/Dimitri Van Zeebroeck_asem/asem2.jpg,Het Toneelhuis,Asem,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/L. King of Pain/Phile Deprez_l-king-of-pain/LKingofPain_thomasjanlookingup.jpg,Het Toneelhuis,L. King of Pain,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2001-2002/L. King of Pain/Phile Deprez_l-king-of-pain/LKingofPain_grouparmsraised.jpg,Het Toneelhuis,L. King of Pain,2001-2002,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2004-2005/Dood van een handelsreiziger/Phile Deprez_dood-van-een-handelsreiziger/AfficheV9140.jpg,Het Toneelhuis,Dood van een handelsreiziger,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2004-2005/Dood van een handelsreiziger/Phile Deprez_dood-van-een-handelsreiziger/josselouis.jpg,Het Toneelhuis,Dood van een handelsreiziger,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2004-2005/Dood van een handelsreiziger/Phile Deprez_dood-van-een-handelsreiziger/gilda1.jpg,Het Toneelhuis,Dood van een handelsreiziger,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2004-2005/Dood van een handelsreiziger/Phile Deprez_dood-van-een-handelsreiziger/groep.jpg,Het Toneelhuis,Dood van een handelsreiziger,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2004-2005/Dood van een handelsreiziger/Phile Deprez_dood-van-een-handelsreiziger/familie.jpg,Het Toneelhuis,Dood van een handelsreiziger,2004-2005,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/BACKUP VTi fotocollectie digital born/0_Archief/Het Toneelhuis_het-toneelhuis/2004-2005/Dood van een handelsreiziger/Phile Deprez_dood-van-een-handelsreiziger/josselorenza.jpg,Het Toneelhuis,Dood van een handelsreiziger,2004-2005,,,,
